answerid;answers_game;answer_img
0;0;30_m_amis
0;0;arnold_et_willy
0;0;art_attack
0;0;bande_à_picsou
0;0;batman
0;0;bigdil
0;0;brosse_à_dent
0;0;c_mon_choix
0;0;c_pas_sorcier
0;0;californication
0;0;carlos
0;0;carte_aux_trésors
0;0;chair_de_poule
0;0;charmed
0;0;club_dorothée
0;0;contes_crypte
0;0;coucou_c_nous
0;0;cour_de_récré
0;0;cowboy_bebop
0;0;demain_à_la_une
0;0;doug
0;0;em6
0;0;extrème_limite
0;0;frères_scotts
0;0;hugo_délire
0;0;inspecteur_gadget
0;0;intervilles
0;0;la_vie
0;0;laboratoire_de_dexter
0;0;le_rebelle
0;0;loftstory
0;0;lois_et_clark
0;0;minikeums
0;0;minus_et_cortex
0;0;navarro
0;0;ncis
0;0;notre_belle_famille
0;0;pokemon
0;0;prince_de_bel_air
0;0;rick
0;0;simpsons
0;0;stargate_atlantis
0;0;super_baloo
0;0;super_nanas
0;0;thalassa
0;0;tic_et_tac
0;0;tintin
0;0;ushuaia
0;0;walker_texas_ranger
